0x1 0x263a
0x2 0x263b
0x3 0x2665
0x4 0x2666
0x5 0x2663
0x6 0x2660
0x7 0x2022
0x8 0x25d8
0x9 0x25cb
0xa 0x25d9
0xb 0x2642
0xc 0x2640
0xd 0x266a
0xe 0x266b
0xf 0x263c
0x10 0x25ba
0x11 0x25c4
0x12 0x2195
0x13 0x203c
0x14 0xb6
0x15 0xa7
0x16 0x25ac
0x17 0x21a8
0x18 0x2191
0x19 0x2193
0x1a 0x2192
0x1b 0x2190
0x1c 0x221f
0x1d 0x2194
0x1e 0x25b2
0x1f 0x25bc
0x7f 0x2302
0x80 0xc7
0x81 0xfc
0x82 0xe9
0x83 0xe2
0x84 0xe4
0x85 0xe0
0x86 0xe5
0x87 0xe7
0x88 0xea
0x89 0xeb
0x8a 0xe8
0x8b 0xef
0x8c 0xee
0x8d 0xec
0x8e 0xc4
0x8f 0xc5
0x90 0xc9
0x91 0xe6
0x92 0xc6
0x93 0xf4
0x94 0xf6
0x95 0xf2
0x96 0xfb
0x97 0xf9
0x98 0xff
0x99 0xd6
0x9a 0xdc
0x9b 0xa2
0x9c 0xa3
0x9d 0xa5
0x9e 0x20a7
0x9f 0x192
0xa0 0xe1
0xa1 0xed
0xa2 0xf3
0xa3 0xfa
0xa4 0xf1
0xa5 0xd1
0xa6 0xaa
0xa7 0xba
0xa8 0xbf
0xa9 0x2310
0xaa 0xac
0xab 0xbd
0xac 0xbc
0xad 0xa1
0xae 0xab
0xaf 0xbb
0xb0 0x2591
0xb1 0x2592
0xb2 0x2593
0xb3 0x2502
0xb4 0x2524
0xb5 0x2561
0xb6 0x2562
0xb7 0x2556
0xb8 0x2555
0xb9 0x2563
0xba 0x2551
0xbb 0x2557
0xbc 0x255d
0xbd 0x255c
0xbe 0x255b
0xbf 0x2510
0xc0 0x2514
0xc1 0x2534
0xc2 0x252c
0xc3 0x251c
0xc4 0x2500
0xc5 0x253c
0xc6 0x255e
0xc7 0x255f
0xc8 0x255a
0xc9 0x2554
0xca 0x2569
0xcb 0x2566
0xcc 0x2560
0xcd 0x2550
0xce 0x256c
0xcf 0x2567
0xd0 0x2568
0xd1 0x2564
0xd2 0x2565
0xd3 0x2559
0xd4 0x2558
0xd5 0x2552
0xd6 0x2553
0xd7 0x256b
0xd8 0x256a
0xd9 0x2518
0xda 0x250c
0xdb 0x2588
0xdc 0x2584
0xdd 0x258c
0xde 0x2590
0xdf 0x2580
0xe0 0x3b1
0xe1 0xdf
0xe2 0x393
0xe3 0x3c0
0xe4 0x3a3
0xe5 0x3c3
0xe6 0xb5
0xe7 0x3c4
0xe8 0x3a6
0xe9 0x398
0xea 0x3a9
0xeb 0x3b4
0xec 0x221e
0xed 0x3c6
0xee 0x3b5
0xef 0x2229
0xf0 0x2261
0xf1 0xb1
0xf2 0x2265
0xf3 0x2264
0xf4 0x2320
0xf5 0x2321
0xf6 0xf7
0xf7 0x2248
0xf8 0xb0
0xf9 0x2219
0xfa 0xb7
0xfb 0x221a
0xfc 0x207f
0xfd 0xb2
0xfe 0x25a0
0xff 0xa0
